OBJECTID,SEGMENTID,ARCID,PD,PT,SN,ST,SD,GEONAMEID,PRIMARYNAME,ALIAS1,ALIAS2,ALIAS3,ALIAS4,ALIAS5,SURFACETYPE,ONEWAY,RTNAME,RTNUMBER,HWYSIGN,RPCCLASS,AOTCLASS,NUTS,NHS,FUNCL,TWN_LR,ETE_LR,CTCODE,UA,CTUA,CERTCODE,ARCMILES,AOTMILES,AOTMILES_CALC,UPDACT,LOCMETH,SRCORG,SCENICHWY,SCENICBYWAY,FORMER_RTNAME,PROVISIONALYEAR,ANCIENTROADYEAR,TRUCKROUTE,SPEEDLIMIT,ROADCLOSED,ISVISIBLE,CERTYEAR,GlobalID,FIPS8,RTNUMBER_N,RDNAME,RDFLNAME,ISVISIBLE_UC,FUNCL_OLD,Urban_Code,FAID,FED_AID,Facility_Type,PENT,TOWNGEOID,StartNodeID,EndNodeID,Ownership,created_user,created_date,last_edited_user,last_edited_date,UPDATENOTES
26,14385,766,,,MIDDLE,RD,N,12223,MIDDLE RD N,,,,,,Paved,No,TH-20,20,TH-20,3,Town Highway Class 3,N,0,7,L0111003020,-,0111,0,0111-0,0111-0,0.02934377,0.02,0,-,1,26,0,0,,,0,0,,,1,,{106A4073-8A56-423B-86AD-3709FA601990},50001055,20,12223,MIDDLE RD N,1,19,99998,500010550766,-,2,N,5000144350,35369,34788,3,,,HMSADMIN,2018-04-27T17:42:46.000Z,-
52,21180,771,,,COURT,ST,,12154,COURT ST,,,,,,Paved,No,TH-1,1,US-7,1,Town Highway Class 1,N,7,3,U007-0111,U007,0111,1,0111-1,0111-0,0.11528,0.115,0,-,1,26,0,200,,,0,300,,,1,2011,{0026D8CA-7E80-4618-90FB-3181E8F1437A},50001055,1,12154,COURT ST,1,14,99998,500010550771,019-3,2,N,5000144350,37060,30818,3,,,HMSADMIN,2019-10-30T13:45:49.000Z,-
98,7467,201,,,VT ROUTE 125,,,5785,VT ROUTE 125,,,,,ROUTE 125,Paved,No,VT-125,125,VT-125,30,State Highway,N,0,5,V125-0104,V125,0104,0,0104-0,0104-0,0.26888533,0.266,0,-,1,26,0,0,,,0,0,,,1,2013,{B0453345-05A7-4DD8-9B5B-AF87288C51BF},50001020,125,5785,VT ROUTE 125,1,7,99999,500010200201,0172,2,N,5000116000,42753,28072,1,,,HMSADMIN,2016-12-01T12:57:01.000Z,-
476,3,559, , ,SEYMOUR,ST, ,12183,SEYMOUR ST,,,,,,Paved,No,TH-5,5,TH-5,2,Town Highway Class 2,N,0,5,S59260111,S5926,0111,1,0111-1,0111-0,0.01521441,0.013,0,-,1,26,0,0,,,0,0,,,1,,{BD0CBF6D-CF2A-4F49-9295-A5B6A0E31C99},50001055,5,12183,SEYMOUR ST,1,17,99998,500010550559,5926,2,N,5000144350,30941,30942,3,,,HMSADMIN,2019-02-27T22:56:11.000Z,-
523,44968,199,,,LEMON FAIR,RD,,5755,LEMON FAIR RD,,,,,,Paved,No,TH-12,12,TH-12,3,Town Highway Class 3,N,0,7,L0104003012,-,0104,0,0104-0,0104-0,0.42270094,0.42,0,-,1,26,0,0,,,0,0,,,1,,{A69AA290-F231-42E4-9C19-1E26EBA96462},50001020,12,5755,LEMON FAIR RD,1,9,99999,500010200199,-,2,N,5000116000,42750,28138,3,,,HMSADMIN,2018-04-26T14:33:58.000Z,-
638,2909,132,,,SEYMOUR,ST,,12183,SEYMOUR ST,,,,,,Paved,No,TH-5,5,TH-5,2,Town Highway Class 2,N,0,5,S59260111,S5926,0111,1,0111-1,0111-0,0.12663819,0.12,0,-,1,26,0,0,,,0,0,,,1,,{E915AD11-BC6E-47BA-A26E-5033007623B3},50001055,5,12183,SEYMOUR ST,1,17,99998,500010550132,5926,2,N,5000144350,30696,30993,3,,,HMSADMIN,2019-10-30T12:26:15.000Z,-
1066,,646,,,,,,,,,,,,,Paved,No,TH-3,3,VT-125,1,Town Highway Class 1,N,0,4,V125-0111,V125,0111,1,0111-1,0111-0,0.00459,0.007,0,-,1,26,0,200,,,0,0,,,1,,{9849290D-D9AD-44FA-B141-36AC2068177C},50001055,3,12124,COLLEGE ST,1,16,99998,500010550646,5900,2,N,5000144350,37697,37698,3,,,HMSADMIN,2019-12-11T16:22:01.000Z,-
1314,18885,575, , ,CEDAR,CT, ,12291,CEDAR CT,,,,,,Unknown,No,-,-,-,8,Private Road - No Show,N,0,0,-,-,0111,1,0111-1,0111-0,0.09933736,0,0,-,8,26,0,0,,0,0,0,,,1,0,{0E908089-0624-4F99-B9B5-969610FA5E2F},50001055,0,12291,CEDAR CT,0,0,99998,500010550575,-,,N,5000144350,3164,3164,26,,,HMSADMIN,2019-12-17T22:47:53.000Z,-
1524,3847,589,S, ,SERVICE,RD, ,12297,S SERVICE RD,,,,,,Unknown,No,-,-,-,8,Private Road - No Show,N,0,0,-,-,0111,1,0111-1,0111-0,0.11535479,0,0,-,8,26,0,0,,0,0,0,,,1,0,{ED8A67F3-8F13-4C70-AC6E-CE8DFED28D7C},50001055,0,12297,S SERVICE RD,0,0,99998,500010550589,-,,N,5000144350,4436,3089,26,,,,,-
1638,3706,242,,,CHIPMAN,PARK,,12122,CHIPMAN PARK,,,,,,Paved,No,TH-54,54,TH-54,3,Town Highway Class 3,N,0,7,L0111003054,-,0111,1,0111-1,0111-0,0.06565968,0.07,0,-,1,26,0,0,,,0,0,,,1,,{862DF99D-DDB6-46A6-ACD8-0EFC79F00134},50001055,54,12122,CHIPMAN PARK,0,19,99998,500010550242,-,2,N,5000144350,46641,3093,3,,,HMSADMIN,2018-04-18T16:41:13.000Z,-
1702,55912,77, , ,GAMBREL,CT, ,12171,GAMBREL CT,,,,,,Paved,No,TH-110,110,TH-110,3,Town Highway Class 3,N,0,7,L0111003110,-,0111,1,0111-1,0111-0,0.06080469,0.06,0,-,1,26,0,0,,,0,0,,,1,,{CF4C84E0-E06A-4CB4-A3CD-E59BE392D0D9},50001055,110,12171,GAMBREL CT,0,19,99998,500010550077,-,2,N,5000144350,2814,2814,3,,,,,-
