X,Y,OBJECTID,ORGID,ORGANIZATI,ADDRESS,CITY,STATE,ZIP,Lon,Lat,GRTYPE
491990.498671751469374,39014.197056723758578,1,PS001,Academy School,860 WESTERN AVENUE,BRATTLEBORO,VT,05301,-72.59799405,42.85117643,Elementary
435537.430075175128877,176728.580160981044173,2,PS002,Addison Central School,121 VT RTE 17 WEST,ADDISON,VT,05491,-73.30492856,44.08795907,Elementary
509766.592768306843936,248669.714947981759906,3,PS007,Albany Community School,351 MAIN ST,ALBANY,VT,05820,-72.37668799,44.73816761,Elementary
502349.552505399100482,107700.850944694131613,4,PS008,Albert Bridge Sch,108 BROWNSVILLE HARTLAND RD,BROWNSVILLE,VT,05037,-72.47096252,43.4695015,Elementary
452396.858698876574636,220912.834538130089641,5,PS009,Albert D Lawton School,104 MAPLE STREET,ESSEX JUNCTION,VT,05452,-73.098446,44.486875,Middle
437061.518908594734967,275731.442973185330629,6,PS010,Alburgh Community Ed Center,14 NORTH MAIN STREET,ALBURG,VT,05440,-73.29797387,44.97897127,Elementary
452539.363147010095417,216566.417638082057238,7,PS398,Allen Brook School,497 TALCOTT ROAD,WILLISTON,VT,05495,-73.09625628,44.44777096,Middle
446950.222533804364502,63036.305751096457243,8,PS011,Arlington Memorial High School,529 EAST ARLINGTON RD,ARLINGTON,VT,05250,-73.15130615,43.06560898,Secondary
491136.534254956059158,74462.965217739343643,9,PS120,Athens/Grafton Joint Contract School,58 SCHOOL STREET,GRAFTON,VT,05146,-72.60900489,43.17026892,Elementary
476037.007456893101335,253838.581128794699907,10,PS015,Bakersfield School,82 ACADEMY DRIVE,BAKERSFIELD,VT,05441,-72.80279541,44.78434753,Elementary
490294.143342171795666,136242.893595276400447,11,PS017,Barnard Academy,6208 RTE 12,BARNARD,VT,05031,-72.62046333,43.72634479,Elementary
533452.213398365303874,200874.283607468008995,12,PS018,Barnet Elementary School,163 KID ROW,BARNET,VT,05821,-72.08073724,44.30733445,Elementary
499616.599286853335798,187136.410442674532533,13,PS381,Barre City Elem/Middle School,50 PARKSIDE TERRACE,BARRE,VT,05641,-72.50479524,44.1844651,Elementary
501172.637048303149641,185316.900936979800463,14,PS020,Barre Town Elementary School,70 WEBSTERVILLE ROAD,BARRE,VT,05641-9029,-72.48533774,44.16808877,Elementary
463544.790869259275496,133519.666456738486886,15,PS021,Barstow Memorial School,223 CHITTENDEN ROAD,CHITTENDEN,VT,05737,-72.95226959,43.70100263,Elementary
525361.158158830367029,249895.285253122448921,16,PS022,Barton Graded School,137 CHURCH STREET,BARTON,VT,05822,-72.17973383,44.7488141,Elementary
447720.845638521946967,180783.215044757351279,17,PS023,Beeman Elementary School,50 NORTH STREET,NEW HAVEN,VT,05472,-73.15320985,44.12541916,Elementary
504374.35455528460443,70356.366429913789034,18,PS024,Bellows Falls Middle School,15 SCHOOL STREET,BELLOWS FALLS,VT,05101,-72.44623558,43.13334237,Middle
504621.167483514174819,68748.174940416589379,19,PS025,Bellows Falls UHS #27,406 HIGH SCHOOL ROAD,BELLOWS FALLS,VT,05101,-72.44321544,43.1188646,Secondary
459300.787153306417167,240499.713020373135805,20,PS405,Bellows Free Academy (Fairfax),75 HUNT STREET,FAIRFAX,VT,05454,-73.01320452,44.66355829,Secondary
453850.59770823083818,256607.79674737341702,21,PS406,Bellows Free Academy (St Albans),71 SOUTH MAIN STREET,ST ALBANS,VT,05478-2297,-73.083382,44.808179,Secondary
443303.282242408022285,42528.882243998348713,22,PS029,Bennington Elementary School,128 PARK STREET,BENNINGTON,VT,05201,-73.19399873,42.88075421,Elementary
435348.730170999653637,134404.02933756262064,23,PS031,Benson Village School,32 SCHOOL STREET,BENSON,VT,05731,-73.30215445,43.70704254,Elementary
478990.453603643923998,274731.909148253500462,24,PS032,Berkshire Elementary School,4850 WATER TOWER ROAD,RICHFORD,VT,05476,-72.76634216,44.97245407,Elementary
494273.865201878361404,190474.552781783044338,25,PS033,Berlin Elementary School,372 PAINE TURNPIKE NO - BERLIN,BERLIN,VT,05602,-72.57165386,44.21448573,Elementary
488456.282860459759831,148124.610854340717196,26,PS034,Bethel Elementary School,273 PLEASANT ST RR#1 BOX 1003,BETHEL,VT,05032,-72.6435293,43.83326046,Elementary
443308.811586412601173,162888.38622809201479,27,PS076,Bingham Memorial School,112 SCHOOL ROAD,CORNWALL,VT,05753,-73.20641622,43.96404667,Elementary
484724.283240984193981,99748.138233287259936,28,PS035,Black River US #39,43 MAIN STREET,LUDLOW,VT,05149,-72.68856553,43.39776637,Secondary
533331.199638253077865,184002.974791755899787,29,PS036,Blue Mountain US #21,2420 ROUTE 302,WELLS RIVER,VT,05081,-72.08332655,44.15550456,K-12
530263.643923396244645,167013.452983932569623,30,PS037,Bradford Elementary School,761 FAIRGROUND RD,BRADFORD,VT,05033,-72.12264626,44.00273384,Elementary
482145.964646583423018,161751.099059032276273,31,PS038,Braintree School,66 BENT HILL ROAD,BRAINTREE,VT,05060,-72.72244448,43.95577787,Elementary
494979.573234534822404,37349.108543174341321,32,PS040,Brattleboro UHS #6,131 FAIRGROUND ROAD,BRATTLEBORO,VT,05301,-72.56140872,42.83621268,Secondary
463001.768148753792048,199609.771990289911628,33,PS041,Brewster Pierce Elementary School,120 SCHOOL STREET,HUNTINGTON,VT,05462-9712,-72.96361472,44.29578277,Elementary
489955.688941855914891,120893.560716981068254,34,PS042,Bridgewater Village School,7335 ROUTE 4 WEST,BRIDGEWATER,VT,05034,-72.62437852,43.58818477,Elementary
434547.945018254220486,164845.508533913642168,35,PS043,Bridport Central School,3442 VT RT 22A,BRIDPORT,VT,05734,-73.31581429,43.98093251,Elementary
547925.908515845425427,258100.212748764082789,36,PS044,Brighton Elementary School,825 RAILROAD ST,ISLAND POND,VT,05846,-71.8940215,44.82149149,Elementary
453822.577740204520524,182156.675014035776258,37,PS045,Bristol Elementary School,57 MOUNTAIN ST,BRISTOL,VT,05443,-73.07709527,44.13819015,Elementary
491446.001647244207561,168467.653561286628246,38,PS047,Brookfield Elementary School,1728 RIDGE RD,BROOKFIELD,VT,05036,-72.60668329,44.01639526,Elementary
528655.507985898293555,257809.051148492842913,39,PS049,Brownington Central School,103 CHASE ROAD,BROWNINGTON,VT,05860-9765,-72.13768768,44.81990433,Elementary
464671.061718308366835,224429.565549405291677,40,PS050,Browns River Middle School,20 RIVER ROAD,JERICHO,VT,05465,-72.94438583,44.51922689,Middle
542856.405151124112308,236191.13957635872066,41,PS051,Burke Town School,3293 BURKE HOLLOW ROAD,WEST BURKE,VT,05871-8913,-71.95995496,44.62466079,Elementary
441523.404736749827862,222051.398635191842914,42,PS052,Burlington Senior High School,52 INSTITUTE ROAD,BURLINGTON,VT,05401,-73.2352609,44.49632262,Secondary
453048.836683483794332,73900.724833214655519,43,PA002,Burr And Burton Academy,57 SEMINARY AVENUE,MANCHESTER,VT,05254,-73.07735443,43.1638031,Charter
440922.058432189747691,223921.477356933057308,44,PS080,C P Smith School,332 ETHAN ALLEN PARKWAY,BURLINGTON,VT,05401,-73.2430351,44.51310192,Elementary
515185.830149353481829,211483.587297348305583,45,PS055,Cabot School,25 COMMON ROAD,CABOT,VT,05647,-72.30936188,44.40342498,K-12
503846.987642793916166,202144.578008651733398,46,PS056,Calais Elementary School,321 LIGHTENING RIDGE ROAD,PLAINFIELD,VT,05667,-72.451775,44.319526,Elementary
474081.111135072074831,238305.78981832973659,47,PS057,Cambridge Elementary School,186 SCHOOL ST,JEFFERSONVILLE,VT,05464,-72.82672221,44.64450048,Elementary
